sym_a,sym_b,n_sessions,corr,coint_p,coint_p_ab,coint_p_ba,trace0,trace1,johansen_hedge,beta,intercept,half_life,spread_vol,last_z,group,eg_sig,johansen_sig,passes
AMZN,GOOG,628,0.6215421440023933,0.0062813363681569236,0.007539124227712346,0.0062813363681569236,17.424584094745338,2.2641720632951063,1.2845733459812054,1.2288409174332187,-1.0516085878301635,15.8125846876148,0.06564141238127988,0.7463804741001984,megacap_tech,True,True,True
XLE,XLI,628,0.6001763738148365,0.014495107738517136,0.014495107738517136,0.4638796239059759,21.148458504362953,0.4570306426074413,0.3235263831856687,0.3574109998232603,2.0096680873809114,17.905211630954128,0.04508399783052288,-2.179773119612724,sector_etf,True,True,True
COP,CVX,628,0.784563275625234,0.03438446922925681,0.6431107874666043,0.03438446922925681,21.328942708453194,3.104309739828552,-6.68303364083205,0.5359145514547424,1.9671178264561424,59.05469564835532,0.0797676916583967,-1.7698748785558527,big_oil,True,True,True
