sym_a,sym_b,n_sessions,corr,coint_p,coint_p_ab,coint_p_ba,trace0,trace1,johansen_hedge,beta,intercept,half_life,spread_vol,last_z,group,eg_sig,johansen_sig,passes
AMZN,META,629,0.6558967992962567,0.0069649920699074,0.012497633478848677,0.0069649920699074,23.99345527714066,5.57113004438054,0.6247659386666404,0.5645965280597586,1.693984223032079,18.534837380541234,0.06240883729740084,-0.5118211694544658,megacap_tech,True,True,True
CVX,XOM,629,0.8253821418291303,0.03413557822220385,0.03413557822220385,0.3706514673221678,20.74261040909717,4.591905709688373,-0.19672514994445453,0.34171404060230454,3.370470582883602,24.166848533205393,0.047960707331356434,-1.6119430443442755,big_oil,True,True,True
GOOG,META,629,0.5621513505462873,0.020747524089646318,0.07695611209085318,0.020747524089646318,20.15857893421759,7.221636967234551,0.5244688680217408,0.43472040219579056,2.3803941304653935,24.214756780726884,0.07008123232712567,-0.747965559537026,megacap_tech,True,True,True
