sessions,total_return,cagr,vol,sharpe,max_dd,transactions,round_trips,exposure,max_gross,end_value,sym_a,sym_b,lookback,entry_z,exit_z,is_sharpe,is_total_return
311,0.01623900332195083,0.01313815301007315,0.0453753511767641,0.3102641696237411,-0.053084973833922855,44,11,0.4565916398713826,1.022847214180093,101623.90033219509,CVX,XOM,48,1.5,0.5,0.09546409659785686,0.008583605066901034
311,0.0289457604854908,0.0233907724032818,0.1121681623350561,0.2614473171816387,-0.13320053140332422,36,9,0.31189710610932475,1.0251042683295597,102894.57604854908,AMZN,META,37,2.0,0.5,1.5838617865004518,0.2859245400273487
311,0.024140135078877023,0.019516128499684537,0.1376077186617754,0.20985845142006215,-0.15106545522856196,30,7,0.3762057877813505,1.0593302813623087,102414.01350788769,GOOG,META,48,2.0,0.5,-0.509651983184971,-0.1125439882791135
