sessions,total_return,cagr,vol,sharpe,max_dd,transactions,round_trips,exposure,max_gross,end_value,sym_a,sym_b,lookback,entry_z,exit_z,group
628,-0.32646474121134594,-0.14665335584773986,0.12898071179791248,-1.1645664321167073,-0.34162560119832797,30,7,0.928343949044586,1.12967398475986,67353.5258788654,AMZN,META,37,1.5,0.0,megacap_tech
628,0.1361979380106304,0.052573036825907415,0.07873088418887503,0.6899268530277105,-0.13597276433014227,104,26,0.33121019108280253,1.0320714922077576,113619.79380106305,AMZN,META,37,1.5,0.5,megacap_tech
628,-0.1408950783595473,-0.05911950544982747,0.12448997085351145,-0.4270813516283062,-0.2570453174370647,20,5,0.8742038216560509,1.1286759108775597,85910.49216404527,AMZN,META,37,2.0,0.0,megacap_tech
628,0.2859245400273487,0.10617877655124341,0.06504515559512249,1.5838617865004518,-0.04160631444397245,80,20,0.2356687898089172,0.9901811644763161,128592.45400273487,AMZN,META,37,2.0,0.5,megacap_tech
628,0.25486853702919543,0.09538022180380978,0.12010543670570503,0.8183175027660878,-0.08807673566508512,12,3,0.8359872611464968,1.0563162403472026,125486.85370291954,AMZN,META,37,2.5,0.0,megacap_tech
628,0.11534588074399155,0.04477848684892316,0.051387060033438625,0.8779379882551125,-0.05250155550566793,44,11,0.14968152866242038,0.9876443998430288,111534.58807439916,AMZN,META,37,2.5,0.5,megacap_tech
628,0.04660028468511879,0.018444900506297213,0.06290202235137153,0.3219462487332467,-0.1073387937848288,16,4,0.9792993630573248,1.056355951931924,104660.02846851188,CVX,XOM,48,1.5,0.0,big_oil
628,0.008583605066901034,0.003435566097670595,0.047943450286527634,0.09546409659785686,-0.07491539704962502,112,28,0.49044585987261147,0.9881892333480984,100858.36050669011,CVX,XOM,48,1.5,0.5,big_oil
628,-0.09164518163776758,-0.037836158261088326,0.0626711281023844,-0.5840998586364333,-0.13012678163776759,16,4,0.945859872611465,1.0572486813610553,90835.48183622325,CVX,XOM,48,2.0,0.0,big_oil
628,-0.014712642546657273,-0.005930007904289103,0.040351405193962485,-0.12726225199383132,-0.064029054089763,64,16,0.34235668789808915,0.9845725850661251,98528.73574533427,CVX,XOM,48,2.0,0.5,big_oil
628,-0.07833260656930419,-0.03220235501447133,0.061869272336015656,-0.4981247847959815,-0.12823482227488514,16,4,0.9410828025477707,1.0555831840888188,92166.73934306958,CVX,XOM,48,2.5,0.0,big_oil
628,-0.001975372229689687,-0.0007931345290694836,0.036705910628184756,-0.0033030906132896476,-0.07323734253499914,44,11,0.27388535031847133,0.9756725319765779,99802.46277703103,CVX,XOM,48,2.5,0.5,big_oil
628,-0.1800674143747243,-0.07657543859110327,0.10579188664694729,-0.6989943022344911,-0.2641715087159592,76,19,0.4585987261146497,1.1006698554553371,81993.25856252757,GOOG,META,48,1.5,0.5,megacap_tech
628,-0.1125439882791135,-0.04678102418894903,0.08647209287806332,-0.509651983184971,-0.17637828463573757,56,14,0.27388535031847133,1.0994384277116958,88745.60117208865,GOOG,META,48,2.0,0.5,megacap_tech
628,-0.06503955129726757,-0.026625219613404028,0.1245525979703024,-0.154724396659473,-0.20924536023721096,22,5,0.7914012738853503,1.0718207519151979,93496.04487027324,GOOG,META,48,2.5,0.0,megacap_tech
628,-0.0829592347587158,-0.034154759209544805,0.07492709876450124,-0.42503420761403804,-0.15644244706116361,40,10,0.1767515923566879,1.0954981581109227,91704.07652412842,GOOG,META,48,2.5,0.5,megacap_tech
