,top1,top3,top5,top10,all
2025-11-14 21:00:00+00:00,0.0030854996713923265,0.001028499890464109,0.00013529751729151224,-0.0021097184833012857,-0.0027061507189346337
2025-11-17 21:00:00+00:00,-0.017325,-0.012884308926647969,-0.012763745355988796,-0.01027522085188901,-0.009602892988717556
2025-11-18 21:00:00+00:00,-0.026235000000000147,-0.014932500000000048,-0.00841170192106025,-0.004107251651169916,-0.0067198822280139054
2025-11-19 21:00:00+00:00,0.02702700000000018,0.004128300000000072,0.011075459920561687,0.0038837500358992394,0.0015362061925266073
2025-11-20 21:00:00+00:00,0.003728999981964903,0.0047860212084619705,-0.0047593072749228405,-0.00635273654245022,-0.011212422194517218
2025-11-21 21:00:00+00:00,0.0,0.007081794885977265,0.011371796747233745,0.008909338267150523,0.006607076350109958
2025-11-24 21:00:00+00:00,0.009371999615866084,0.022620332598439097,0.01585051902498513,0.014031084228834622,0.008932907664888759
2025-11-25 21:00:00+00:00,0.013595999796405148,0.023846237707834648,0.019880782554535854,0.01149467461121872,0.00763028530898533
2025-11-26 21:00:00+00:00,0.013295699999999987,0.043019687389672746,0.026809070056184176,0.012740872397083835,0.007580732994731557
2025-11-28 18:00:00+00:00,-0.018064200000000075,-0.006193000000000069,-0.0024387000000000475,-0.0011481274458035096,0.0028723187551155604
2025-12-01 21:00:00+00:00,0.016661700000000078,-0.015190314725327739,-0.014833754100901365,-0.005889030725710372,-0.0054545040442603365
2025-12-02 21:00:00+00:00,0.007735199188513538,0.011475193251141694,0.0032904772955460993,-0.0008349975083041357,-0.000659069583277608
2025-12-03 21:00:00+00:00,-0.007774800263574302,0.018458543271112373,0.012976900000086476,0.008206713139967382,0.002560893451284763
2025-12-04 21:00:00+00:00,0.0,0.003075599999999954,0.0006190799999999472,0.0031701574894392377,0.005621175077979642
2025-12-05 21:00:00+00:00,0.0,-0.015920300000000002,-0.008791860000000002,-0.004699935734434198,0.0005433422286661522
2025-12-08 21:00:00+00:00,0.003629999628731566,0.005501079771106855,0.0005154478626641257,-0.0011985424603852993,-0.004041798249555487
2025-12-09 21:00:00+00:00,-0.005662800633357947,-0.0019074002111192975,-0.00048510026992921556,-0.0008375477725998768,-0.0028759136711834364
2025-12-10 21:00:00+00:00,-0.0002244000638363377,0.004588099978721157,0.009047279760128278,0.009077639880064122,0.00409171613223071
2025-12-11 21:00:00+00:00,-0.013305599999999904,0.003879686544754058,0.0013279119268524591,-0.00031715734934096597,0.0030778651431894767
2025-12-12 21:00:00+00:00,-0.03125760000000008,-0.009718519141029473,-0.006448213613507792,-0.003326700219757242,-0.004247774117878633
2025-12-15 21:00:00+00:00,0.0,-0.0013130298411363171,3.037170882191371e-05,0.0003553264337259288,0.00034663882253327014
2025-12-16 21:00:00+00:00,0.0,0.001865600000000004,-0.00354239906249416,-0.002149072257189698,-0.002351990911752253
2025-12-17 21:00:00+00:00,0.0,-0.006534000002746628,-0.00509124406299812,-0.009079687837232934,-0.007044012562752568
2025-12-18 21:00:00+00:00,-0.04032600657685064,-0.014389102396459609,-0.00656114693954411,-0.002899450408017451,0.002210297141036561
2025-12-19 21:00:00+00:00,0.0051033478802625125,0.015034215960087506,0.012827409576052492,0.011283182595290929,0.008743495778192436
2025-12-22 21:00:00+00:00,0.01068372480107076,0.007004241576362087,0.010398575859855722,0.0077650379299278455,0.005404546375763439
2025-12-23 21:00:00+00:00,0.0,0.0,0.002453880000000019,0.0010824358566390983,-0.0007912663847403324
2025-12-24 18:00:00+00:00,-0.00016501961322282568,-5.500653774094189e-05,0.0027350269381058727,0.0020664531806373018,0.0020983533609949187
2025-12-26 21:00:00+00:00,-0.0162525,-0.0054175,-0.004737525568925765,-0.0034256015181314673,0.002727471262922426
2025-12-29 21:00:00+00:00,-0.0074910099753571465,-0.0024970033251190487,-0.003052510732076391,-0.0026109668640870477,-0.0036369552197894235
2025-12-30 21:00:00+00:00,0.0002236646786688425,7.455489288961417e-05,4.47329357337685e-05,-0.0005794847836759145,0.003125833769198534
2025-12-31 21:00:00+00:00,0.0,0.0,-0.000666787984963681,-0.0008211367696526108,-0.006311292705066183
2026-01-02 21:00:00+00:00,0.014247412999658567,0.004749137666552856,0.003532380050845828,-0.003358381534416309,-9.707624078836546e-05
2026-01-05 21:00:00+00:00,0.06796217999999997,0.02265405999999999,0.01745012062013638,0.014846551376938796,0.006857847115919853
2026-01-06 21:00:00+00:00,-0.011754599999999964,0.001358492154241321,0.0005930492024162411,0.0040278296300768745,0.0020203589722291608
2026-01-07 21:00:00+00:00,-0.040154399999999944,-0.01544399999999996,-0.015120035501659603,-0.0004761081983982892,-0.0022799308315133732
2026-01-08 21:00:00+00:00,-0.023813100696910335,0.008793299767696544,0.005282462814647874,0.0023524142231392056,0.001803980808090568
2026-01-09 21:00:00+00:00,-0.005306422282974103,-0.006402007427658022,-0.0026202044565948137,-0.0011569825199650443,-0.002368402980320828
2026-01-12 21:00:00+00:00,0.020060039999999852,0.0004760797366112595,-0.005272906779751579,0.0027708701213033787,0.007973476343749073
2026-01-13 21:00:00+00:00,0.006465020661940602,-0.0004805931196168467,-0.0035296448909404353,-0.006975541977834868,-0.005524201886495109
2026-01-14 21:00:00+00:00,-0.05401770337597041,-0.018005901125323468,-0.010159190015452055,-0.012330152456620495,-0.008200959564114044
2026-01-15 21:00:00+00:00,-0.00548470914996049,-0.0018282363833201634,-0.004492906055858619,-0.006744754257011582,-0.00328136175840077
2026-01-16 21:00:00+00:00,0.0,0.0,-0.006808295999999996,-0.008725843438015277,-0.001732485512401803
2026-01-20 21:00:00+00:00,0.0,0.0009743210430377165,-0.0019062473741773855,-0.013839889429490068,-0.007812428082315581
2026-01-21 21:00:00+00:00,0.0,-0.007453611532993881,-0.008678347033930884,-0.0019110780380609768,-8.568372139831676e-05
2026-01-22 21:00:00+00:00,-0.007286462831437847,0.010511579056187369,0.005314306664686876,0.0004893975565154245,0.003918432531990934
2026-01-23 21:00:00+00:00,-0.012005400000000036,-0.002388100117486165,0.0036095339124794976,-0.0009636066209300548,-0.0021828918575240693
2026-01-26 21:00:00+00:00,0.011893199999999987,0.0008759185962014226,0.0017538072103077998,0.0008769036051538999,-5.630183241573885e-05
2026-01-27 21:00:00+00:00,0.007405200000000017,0.006804629618904459,0.004082777771342676,0.0007751660933708532,-0.0018666824246895634
2026-01-28 21:00:00+00:00,-0.0075173999999999155,0.0017731997898655935,0.0009147572124000344,-0.0012249811967119163,-0.0018017812791175712
2026-01-29 21:00:00+00:00,0.027825599999999902,0.010991199999999958,0.006613196272254182,0.009097256102723605,0.0008923363794226273
2026-01-30 21:00:00+00:00,-0.0019008261384653904,-0.00846853749106171,-0.012714682639885544,-0.008024111659805658,-0.0077912958280521305
2026-02-02 21:00:00+00:00,0.0,-0.0007095003685195434,0.0021324597788882583,0.002047724705770792,0.004338276308070405
2026-02-03 21:00:00+00:00,0.0,-0.007298531760375694,0.007644099794306492,0.0015109731945740679,-0.005139866751816116
2026-02-04 21:00:00+00:00,-0.003816193993290053,-0.033619858740750345,-0.04692567524445018,-0.027280624611219044,-0.010882860577009292
2026-02-05 21:00:00+00:00,-0.01629020992178256,-0.00814156997392753,-0.01762030203440752,-0.015764761429965315,-0.010525946622739094
2026-02-06 21:00:00+00:00,0.022070400000000035,0.03206278406333912,0.011936882065495192,0.023849803663949034,0.012230161834046982
2026-02-09 21:00:00+00:00,-0.00856698315268608,0.011655538939589823,0.017691918146903678,0.006099027179801487,0.003168467010112077
2026-02-10 21:00:00+00:00,0.004461566599276866,-0.0018108311534528003,-0.0060456066920716745,-0.006008650927939582,-0.0005998886589893411
2026-02-11 21:00:00+00:00,-0.020476604304003103,-0.011255558284916423,-0.015583871673356103,-0.028085445373787064,-0.009624733077190023
2026-02-12 21:00:00+00:00,0.0036428952924154145,0.004228256356926858,0.005055770667448782,-0.00017880411235369334,-0.009368663562556624
2026-02-13 21:00:00+00:00,-0.012487199999999898,0.004692600000000034,-2.063189436485426e-05,-0.0016966159471824241,0.001460206816492179
2026-02-17 21:00:00+00:00,-0.009649200000000078,-0.006549399999999946,0.004432177664170926,0.0045528185657354335,0.0025411592207771976
2026-02-18 21:00:00+00:00,0.03656377936325442,0.011335364130698883,0.006429966078180365,0.005205541938318653,0.0027012681756345656
2026-02-19 21:00:00+00:00,0.004130902924252964,0.0034669676414176044,-0.00011959941514946247,0.0006686961823306632,0.0003636243660627383
2026-02-20 21:00:00+00:00,0.002989674049999962,0.001909558016666624,0.0035633148099999817,0.00044099936856311706,2.974856093678705e-05
2026-02-23 21:00:00+00:00,-0.02250705822935285,-0.010098364916943827,-0.010490519401415746,-0.010610415154896906,-0.005682983035729495
2026-02-24 21:00:00+00:00,0.0,0.0008150497854146261,0.004473247260682746,0.006725607233922802,0.0073513669634544055
2026-02-25 21:00:00+00:00,0.0,0.016528599999999973,0.017420040000000005,0.010863585575933693,0.009629405211715744
2026-02-26 21:00:00+00:00,0.0,0.0065559999999999395,0.010964561312058325,0.006156469180446985,0.0010351320925098394
2026-02-27 21:00:00+00:00,0.0005150327666866633,0.011036377588895552,-0.011103946497453426,-0.013482918066500427,-0.011225110450040104
2026-03-02 21:00:00+00:00,0.014432219999999975,0.0018153868171275373,-0.005956172938560028,-0.0021567388082580955,0.00035871384311360213
2026-03-03 21:00:00+00:00,-0.028604399999999943,-0.014560813462998992,0.0007301998239977158,-0.005567658285274829,-0.00700433068529009
2026-03-04 21:00:00+00:00,0.015602400000000065,0.006554806074090533,0.00691344364445431,0.005341020872719385,0.008070368882142822
2026-03-05 21:00:00+00:00,-0.012351899999999945,-0.010435730304483413,-0.022720519336019603,-0.013616839051157112,-0.006225345477818609
2026-03-06 21:00:00+00:00,-0.018272892011683653,-0.0034784641402680477,-0.010088696682519716,-0.01248387207925499,-0.0060267351423710066
2026-03-09 20:00:00+00:00,0.0,-0.0013760999999999739,0.0002474999999999998,0.0007292996984948962,0.0027899768820926893
2026-03-10 20:00:00+00:00,0.004896133184615755,0.0004242443948719165,-0.004994436890183108,0.0004717808503317725,0.0030278399706246623
2026-03-11 20:00:00+00:00,-0.020912694663029283,-0.011190574162182538,-0.007392824497309505,-0.002780002252387345,-0.002364473476134844
2026-03-12 20:00:00+00:00,-0.011556743020731787,-0.006277747673577232,-0.009593822248179928,-0.009952171140299539,-0.008054618869854058
2026-03-13 20:00:00+00:00,0.0,-0.0015631328174576513,-0.002674220542130721,0.0033352013562214936,-0.003587293177650563
2026-03-16 20:00:00+00:00,-0.003993429558415559,-0.0013311431861385197,0.0006819415866016361,0.004314500410799487,0.0058554905066985855
2026-03-17 20:00:00+00:00,0.00683100000000009,-0.0037818402845824993,-0.01910189693342802,-0.010290809863523796,-0.0012674398938393814
2026-03-18 20:00:00+00:00,-0.01062599999999994,-0.007101599999999968,-0.010705859999999987,-0.0077469493290150725,-0.009154952477407207
2026-03-19 20:00:00+00:00,-0.01095599999999994,-0.004782799999999977,0.00564564795650658,0.0036370352751153856,-0.002507625522170362
2026-03-20 20:00:00+00:00,-0.01372818331202813,-0.004611261104009395,-0.020658133637485598,-0.018351696818742803,-0.011676155120314937
2026-03-23 20:00:00+00:00,-0.020624999999999998,-0.009000203198481512,-0.0011035219190888832,0.006825718005151157,0.006523527004054557
2026-03-24 20:00:00+00:00,0.005609847328063315,0.006000211347822041,-0.005299973191306769,-0.004148710051471008,-0.0019571891157785133
2026-03-25 20:00:00+00:00,-0.011022362596159919,0.002284572840482783,0.008860602379620516,0.0043557057705772406,0.0017930306257305144
2026-03-26 20:00:00+00:00,0.0,0.0,-0.012930024642905893,-0.007727592323013767,-0.011829622697477117
2026-03-27 20:00:00+00:00,0.002045996884571318,0.0021031860042667358,-0.008865788397439945,-0.007644786184100768,-0.011273901718065894
2026-03-30 20:00:00+00:00,0.004883950608539098,-0.01041491493003744,0.0005028510419775479,-0.001679750789622555,-0.0015096471526420733
2026-03-31 20:00:00+00:00,0.0,0.002041587181802688,0.005423642938981082,0.01061823190448153,0.012833887753129105
2026-04-01 20:00:00+00:00,0.004190868038537233,0.0090353560128457,0.009979607635831073,0.00677147361824063,0.003744973698920894
