,COST,MA,NU,ARKK,XPEV,HOOD,ABNB,JPM,AMD,BRK.B,PLTR,SPY,AMZN,NIO,TSLA,GOOG,PYPL,UNH,GEV,AAPL,AAL,BAC,TLT,V,WFC,TSM,COUR,C,NVDA,LI,BABA,MSFT,F
2025-08-21 20:00:00+00:00,-0.0073128032785269095,0.005002655587339277,0.0041775555333979034,0.00013299161208210535,-0.002117964472994881,0.0024320781969530115,0.010326582440434507,-0.0023761398473457302,-0.0005544081544871323,-0.00011554751428231156,0.0,0.0,0.0,0.0,0.0,-0.002000128202352089,0.0,-0.00205591525423275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004233111158797006,0.0,0.0,0.0,-0.0020916470818263906,-0.001435504968667983,0.0
2025-08-22 20:00:00+00:00,-0.007312800000000026,0.00924,0.018800099999999934,0.03963959999999996,0.04607064000000005,0.02459159999999999,0.0259578000000001,0.0007589855345461637,0.021991199999999957,-0.0012952793692232033,-0.01039830006182797,-7.920003896922935e-05,0.008342399585682168,-0.02212650778858129,0.007193999929747269,0.0030292507389146927,0.0030524639696999064,-0.00024091854305720515,-0.0034848575486122624,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012144162303629673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25 20:00:00+00:00,-0.013031958106302033,-0.007537200000000048,0.020192700000000167,-0.011068199999999988,-0.032390819999999994,-0.005319609422674393,-0.013434300000000012,-0.0048840843769950145,-0.02361810000000005,0.0,-0.008672400000000066,-0.0033923999999999157,-0.0035640000000000597,-0.029502831430680457,0.01742399999999991,0.011226599999999993,-0.0059531999999999875,-0.008137799999999952,-0.012262836935088797,-0.001953600856319058,-0.016546609275568426,-0.0011089007630261812,-0.0007789823299765976,-0.0025212677782990613,0.005405791831764795,-0.004804855776192753,0.0,0.0,-0.0006600006689868132,0.0,0.0,0.0,0.0
2025-08-26 20:00:00+00:00,-0.0036201201441566806,-0.0020987999999998916,0.0006962999999998919,0.002694211874665202,0.05318082,0.0,0.00038665278319130263,0.0057551247233089175,0.013919396990180261,0.008365482412159913,0.02108700000000003,0.0015311999890122295,-0.0057723619004195,0.0,0.013675200000000018,-0.005867400000000066,0.009876899999999795,-0.012711600000000144,0.0,0.001003194247053775,0.010791000000000089,-0.00012873429312879124,-0.002798409664079713,0.003352597134240777,0.016361399999999825,0.011365200000000018,-0.008543415756179678,0.006830948938295032,0.0011549988541394167,0.008398842087227281,0.0,0.0,0.0
2025-08-27 20:00:00+00:00,-0.0011620192768376728,-0.0016645563502039793,0.02785200000000003,0.0002318664883967085,-0.06777540000000018,-0.015254294277016547,0.0,-0.002023008637777766,-0.0027984033854349536,0.00697950000000003,-0.024116399999999975,-7.920029000788418e-05,0.00014915122680274635,0.0,-0.006362400000000066,-0.00019162266077778895,-0.00980177989309333,0.010989000000000209,0.0,0.004395599999999904,-0.001438800000000042,0.0024881999999999877,0.0018017955465026215,-0.002164799999999982,0.017129157799194834,0.002217600000000084,0.015206399999999976,0.013275855699176107,-0.002359500090181668,-0.06925464760626887,-0.0006338250749235066,0.0,0.0
2025-08-28 20:00:00+00:00,-0.004484699999999898,-0.0020867810671435926,0.009051899999999946,0.002614058987271933,-0.039221789053059876,0.003920400000000036,0.005404148557552989,0.0051975,0.0002758429441449652,0.00688049999999997,0.008969399999999945,0.002666399999999976,0.0,0.0,-0.006204000090866302,-0.002303431499347921,0.0,-0.0060621166465155965,-0.0017820030079243724,0.006428385212281032,0.007913400000000006,0.00191400000000006,0.004052358809510328,-0.004693140810854497,0.0,-0.003049200000000078,0.02618879999999989,-0.0032010033722746447,0.0,0.0,-0.01973400000000006,0.0,0.0
2025-08-29 20:00:00+00:00,-0.004521577665957838,0.0,0.002088900000000126,-0.004594849328123564,0.0,0.004365899999999856,0.0005081999999998379,-0.0005082787310307776,0.0,0.00491700000000003,-0.01042800447347618,-0.002613600029187082,0.0,0.0,0.0,0.007207199999999897,0.0,0.0,-0.026823451259560763,-0.001280412748215872,0.008632799999999951,0.004784999999999999,-0.006619799999999981,0.0011483092212823975,-0.004373042111585855,-0.029066399999999975,-0.024933553174302105,-0.00207899999999991,-0.0036036000591391803,0.0,0.11635470000000005,-0.001848023426891018,0.0
2025-09-02 20:00:00+00:00,-0.004435200000000018,0.0,0.004177799999999952,-0.006520800000000221,0.0,-0.026908199999999986,-0.021344399999999944,0.0054317671914004715,0.0,-0.00303600000000009,0.0,0.0,-0.002151601539601788,0.0,0.0,-0.02186580321828901,-0.0052631094777773335,-0.008735135367233492,0.0,0.0,0.001438800000000042,-0.005933400000000005,-0.005946599999999994,-0.0044879999999999694,-0.00462,-0.011167200000000047,-0.0008647067753615784,-0.017325,-0.01657920000000008,0.019072758466461316,0.027855299999999802,0.00490049542910996,0.0
2025-09-03 20:00:00+00:00,0.01079099999999994,-0.00035661123998169386,0.002785200000000018,0.00438900000000021,-0.0025450888461891006,-0.0038312999999998917,-0.022763693729073695,-0.0005643000000000119,0.0,0.0005775,0.0,0.0,0.0034056000000000537,0.0,-0.013701600430593815,0.0,0.0002078855448707236,-0.004068899999999976,0.004471491479655392,0.004778399567018773,0.031221865847256135,-0.012005464146076174,0.009649199999999927,-0.002996837722565092,-0.01432200000000003,0.013226399999999975,0.009437999999999969,0.001839326361474732,-0.001161599999999994,-0.011880000000000149,-0.017684699999999748,-0.0013365144667346247,0.0
2025-09-04 20:00:00+00:00,0.006470590615285341,-0.00377527502584845,0.0,-0.0007858084225545371,0.0,0.015377967617691692,0.0037681924758726517,0.012563100000000053,0.0,0.0010887383129851332,0.008538419006663465,-0.000356400001734446,0.026450159538829364,0.0,0.0,0.016381197554831164,-0.027340871902787015,0.008613000000000119,0.03583799999999997,-0.002983207155909331,-0.04261976347256809,-0.0003300391571775981,0.002593758946866737,0.0,0.01489949999999988,0.015008400000000005,-0.013153527823837148,0.01994849999999994,-0.0003300003180512067,0.003607218674825321,-0.040986000000000085,-0.0007095048231788996,0.0
2025-09-05 20:00:00+00:00,0.00012116638100020281,0.004104893380321573,0.005569577738717439,-0.0036544285514408963,0.0,-0.030312150591252755,0.0005399497606387012,-0.009180604011282312,-0.010962602535322902,-0.0019140185014748475,-0.01810512000000001,-0.00250799999999997,-0.01326599999999994,0.0,-0.006230400033134596,0.00950399999999991,-0.0031877999999999516,0.014493599999999874,-0.027538499999999938,0.001491598940554977,0.0,-0.006784917566214012,0.014473800000000042,0.0020985161601297067,-0.03245549999999997,0.03219479999999998,0.0,-0.005365943082940334,0.0,-0.006481754568006399,0.03529350000000009,-0.02135100000000009,0.0
2025-09-08 20:00:00+00:00,0.0,0.003128400000000006,0.0,0.0006772677128199165,-0.00239745288181326,0.014321993547550954,0.0,-0.00019849433602278166,0.0022571999999998977,-0.006534006678661067,0.023845799111739657,0.0011615995670216125,0.01752959654727994,0.0,-0.011747999999999969,-0.0024156000000000537,0.0023561999999999576,0.006794693028531742,0.023198939244200467,-0.00673199999999988,0.0,-0.005359199999999928,0.01166879999999989,3.561644690897992e-05,0.0038636485186788055,0.014810400000000034,0.0,-0.005775909645117963,0.0,0.007524000000000059,0.041745,0.006104999999999999,0.0
2025-09-09 20:00:00+00:00,0.010153925117033972,-0.0034188000000000417,-0.0006386217139813788,0.006565885865719542,0.010219083677331382,0.009979199999999928,0.0,0.01597199999999988,0.02654586,0.0,0.0008167446269186075,0.0,0.0,0.0016805883359767902,0.001927200000000048,0.022928400000000005,-0.00892389015587882,0.07787339999999986,0.0,-0.014058000000000119,0.0,0.015120599999999903,-0.007062020248233534,0.0,0.0005279149258079268,0.010718395810124806,0.03261739156634076,0.014256000000000239,0.008421599952337783,0.01663199999999988,0.036405542174352025,4.950000000003001e-05,0.0
2025-09-10 20:00:00+00:00,-0.022601699999999926,-0.006058800000000041,0.0012063061174087033,-0.0015216309779443916,0.0,-0.00871199999999988,-0.0007103066820471394,0.00871200000000018,0.02198394000000013,0.0021448154498181792,0.0278948948485491,-0.0031680000104575127,-0.01233276246158708,-0.1038972035924765,0.015853199531498285,0.0019271448954277593,0.004461593123093621,-0.0023165999999998437,0.005873746000698184,-0.02919840107867381,0.0,-0.006019600392805023,0.0010856959741357558,0.0,-0.0012804516162515482,-0.00740850111445758,-0.061057761882186694,-0.004290028818386486,0.03713819999999998,-0.01029599999999979,-0.002310104660679899,0.0019799997676797554,0.0
2025-09-11 20:00:00+00:00,0.007910099999999934,0.010309044500177583,0.0,-0.0021918347680029227,0.0,0.026518783430558177,0.002171625634814836,0.009866964115266214,-0.024565201756375603,0.01042800000000012,-0.014810400000000034,0.006863999999999909,0.0026281191076221876,0.0,0.015135119860447953,-0.0014916053502782823,0.018440399999999885,0.019209284272475136,-0.014467199999999897,0.0026795982969134865,0.0,0.011675400000000035,0.0030390811370453364,-0.00044899661446304886,0.01081079999999992,-0.003887442535908385,0.0,0.002639945693340364,-0.000336599999999994,0.01544399999999991,0.07583400000000005,0.0,0.0
2025-09-12 20:00:00+00:00,0.003524399999999946,0.0,0.0,0.005440020064275986,0.01174082705803396,-0.0012127634480976757,0.0,0.005015809845876961,0.009610255874082695,-0.005329529021768812,0.039662700000000016,-2.6259123387717407e-10,0.0017133571573237757,0.030402771872789138,0.025824149986232774,0.0,-0.005372399999999765,0.002864387352954077,0.00021103468176398562,0.01584,0.0,-0.0030623999999999157,0.0,0.0,-0.00033079285866347615,-0.004108635431188517,0.0028345050051999804,0.00603899999999991,0.00308550000000012,0.0051479999999999694,-0.0032340000000000597,0.00598949808925991,0.0
2025-09-15 20:00:00+00:00,-0.007682399999999916,0.0,0.0,0.005102806231041386,0.0,-0.0032175,-0.006179930838235704,0.006147900000000036,-0.0010520495210518401,-0.0007097576384340891,-0.01984158027574479,-0.0022704000922974636,0.012839630941128007,0.046644915855847416,-0.0223971000112311,0.0038807999436875707,0.0010813936764082518,-0.00496332461875942,0.0,0.00910799999999997,0.0,-0.0006074785524170374,0.0,-0.002548233036799938,0.0,0.0,-0.0045973892458816635,0.0050490000000000595,-0.003752100309492721,0.06659136477938399,0.018281976667202705,0.0,0.0
2025-09-16 20:00:00+00:00,-0.007900200000000017,0.0,0.0,0.016825009479750172,0.0,0.020542499999999998,0.0,0.0005048999999997659,0.0037566889322891753,-0.00090750000000015,0.0001748942136673304,0.0,0.012282597828548764,0.078705,0.023304599999999964,0.00032339509750492197,-0.00487192675015624,0.0,-0.0031020198592135693,0.007326000000000089,0.008833365407858382,-0.0031911636644479813,0.0,0.0008710301123797444,0.0,0.0,0.0,0.00663300000000012,-0.004738800665334984,0.0011604976260210832,0.0,-0.010972500191369012,0.0
2025-09-17 20:00:00+00:00,0.010781100000000023,0.0,0.0,0.0,0.0,0.008579862671822957,-0.003936458169347893,0.007454700000000198,-0.007015820670238785,0.00273900000000006,-0.004138202197208593,0.0007787994596137241,0.0,0.063855,0.009563400000000005,0.0017390703686227607,0.025555200000000017,-0.002600403664873147,-0.010507356692561387,0.0013991969344190874,0.013801953009588896,-0.002435423389945731,0.0,0.01615680000000001,-0.0009243087900801083,0.0039895996594821416,0.0,0.01079099999999994,-0.027733200108174014,0.0188461456138712,0.0011846902142347653,-0.00102299999999997,0.0
2025-09-18 20:00:00+00:00,-0.011378462838170017,0.0,-0.005187656480467835,0.0038856427282696403,0.0,0.0177375,0.008322112627005381,0.0013925483866035892,-0.008791200000000108,0.0005609811472663022,0.04661909999999999,0.00369599999999994,0.0009886790400740982,-0.002228739285867682,-0.019166399999999976,0.009111299999999892,-0.0018876000000000838,-0.017318400000000005,0.006322437805746399,-0.005992801967238506,0.0,0.01378080000000007,0.0,-0.01508768500075087,0.011931091400333743,0.012081234370683381,0.0,0.002269372853254317,0.015691499651290842,0.0,-0.01744050625342168,0.00016499999999984992,0.0
2025-09-19 20:00:00+00:00,0.0,0.0,0.010322400000000065,0.014297197779365596,-0.005524649989299164,0.0309375,0.0,0.0015410647005418057,-0.0019601999999998678,0.0,0.03208919999999993,0.004131599999999994,-0.001148400000000006,0.0,0.017720999999999938,0.011398200000000138,-0.0037751999999998676,0.004593600000000024,0.01721277660788429,0.010955999893157453,0.0,0.002296800000000012,0.0,0.0018874960863680553,0.009199510359897795,-0.013830299999999952,0.0,0.0032103988910832,0.0016763995321028913,0.0,0.0,0.005543999302412799,0.0
