basket,sessions,total_return,ann_return,sharpe,vol,max_dd,hit_rate,beta,beta_explained,ann_alpha,info_ratio
AMD/GOOG/UNH,248,1.1327517700027023,1.158965984821164,3.6734419389318482,0.21606784958664707,-0.06631374117580424,0.5685483870967742,0.8333221625429025,0.19592139044894816,0.6079358911335396,3.2493660409015312
AMD alone,248,3.013329151537101,3.1042965044575617,2.8924440844583272,0.537328530413638,-0.19033892441544753,0.4435483870967742,1.7956567825839937,0.4221747475662851,1.1538776980344443,2.384365749286033
GOOG alone,248,0.4577661082682758,0.46665502877186227,1.8587174386875913,0.21893933512146602,-0.0851289622195236,0.39919354838709675,0.5818581611301586,0.13679998576399285,0.2772297182669191,1.3505277553361192
UNH alone,248,0.4787989933403076,0.48815996345546697,1.9729624243383805,0.2128773495062992,-0.07602777402734628,0.3346774193548387,0.12245154391455472,0.028789438016566443,0.392700257099255,1.8535586894648668
without AMD,248,0.4848460150607601,0.49434361716843545,2.713667823612789,0.15236672752980404,-0.053000624322886436,0.5201612903225806,0.3521548525223567,0.08279471189027965,0.3349649876830871,2.307660125693243
without GOOG,248,1.5340833664035012,1.5723741609385242,3.4253507565930073,0.2881736617738241,-0.1213848283273723,0.5120967741935484,0.9590541632492744,0.2254820927914258,0.7732889775668502,2.976690436445804
without UNH,248,1.5045011623271578,1.5418635022344116,3.193587511252144,0.30704326756363476,-0.07755994707871827,0.5241935483870968,1.1887574718570764,0.279487366665139,0.7155537081506824,2.694791003714873
all 33,248,0.07236016714722471,0.07356919024805864,0.8053639922035112,0.09357276355207603,-0.09873722691396203,0.5120967741935484,0.5912015231248408,0.1389966925788938,-0.056439471418431836,-1.0416314005319685
