sessions,total_return,cagr,vol,sharpe,max_dd,transactions,round_trips,exposure,max_gross,end_value,sym_a,sym_b,lookback,entry_z,exit_z,is_sharpe,is_total_return
312,0.08659819997335982,0.06938143118361184,0.04336653929122394,1.5685641197139408,-0.03164717831885733,14,3,0.14102564102564102,0.9447737856243024,108659.81999733599,AMZN,GOOG,60,2.5,0.5,1.413650928203316,0.23970084961423832
312,0.01133879996512377,0.009148321258698466,0.05574644603077442,0.19116037783667256,-0.05624630499970851,16,4,0.18269230769230768,0.9538035210121687,101133.87999651238,AAPL,GOOG,60,2.5,0.5,0.8060305048304875,0.14109759973585123
312,-0.014997301441694755,-0.012130777816734106,0.07041181343378816,-0.13825354132416934,-0.13804246006879828,40,10,0.2564102564102564,1.0449498757026425,98500.26985583053,XLE,XLF,30,2.0,0.5,0.8336514472044618,0.09888009491668837
312,-0.05942890228881903,-0.04828125384595394,0.07560518692486237,-0.6168534540568387,-0.11915237822350677,52,13,0.3333333333333333,0.9442985566412644,94057.10977111809,XLE,XLI,30,2.0,0.5,1.04607098700249,0.1246435900277385
