sessions,total_return,cagr,vol,sharpe,max_dd,transactions,round_trips,exposure,max_gross,end_value,sym_a,sym_b,lookback,entry_z,exit_z,group
630,-0.18710055020634986,-0.0795192048543436,0.08641064906874185,-0.9155893189285973,-0.19187210081480222,6,1,0.9952380952380953,1.0611727107710112,81289.94497936501,XLE,XLI,30,1.5,0.0,sector_etf
630,0.031398187530758515,0.012442914974611252,0.05351515993613955,0.2577827176112376,-0.04793033083593867,140,35,0.4984126984126984,0.9762718614309897,103139.81875307586,XLE,XLI,30,1.5,0.5,sector_etf
630,-0.15638720014173435,-0.06576256783940093,0.08585399039936878,-0.7493437016120845,-0.19028525985272038,6,1,0.9809523809523809,1.0539469472567102,84361.27998582656,XLE,XLI,30,2.0,0.0,sector_etf
630,0.1246435900277385,0.04810782875459907,0.04592663679436147,1.04607098700249,-0.042509678931790806,108,27,0.35555555555555557,0.9616718110509418,112464.35900277385,XLE,XLI,30,2.0,0.5,sector_etf
630,-0.15638720014173435,-0.06576256783940093,0.08585399039936878,-0.7493437016120845,-0.19028525985272038,6,1,0.9809523809523809,1.0539469472567102,84361.27998582656,XLE,XLI,30,2.5,0.0,sector_etf
630,0.041056695636856544,0.01622471443636786,0.02715030671311634,0.6063638115082699,-0.03444459077482176,44,11,0.13015873015873017,0.9363990099452609,104105.66956368566,XLE,XLI,30,2.5,0.5,sector_etf
630,-0.15759385022927508,-0.06629730689187097,0.08672863475579343,-0.7475148418304082,-0.19279257382906945,6,1,0.9793650793650793,1.0560105934719513,84240.61497707249,XLE,XLI,60,1.5,0.0,sector_etf
630,0.005144392050467239,0.0020545897320998208,0.05743149652592075,0.06437823880199793,-0.1597748052715694,102,25,0.5174603174603175,1.0012488653154261,100514.43920504671,XLE,XLI,60,1.5,0.5,sector_etf
630,-0.14550690015436063,-0.06096144465823772,0.07915620681660863,-0.7549820876308124,-0.1884977723921628,6,1,0.9,1.0545178708878558,85449.30998456394,XLE,XLI,60,2.0,0.0,sector_etf
630,-0.03637010398952334,-0.014709929510079545,0.04605895604483894,-0.29875667579013326,-0.10732300543476425,58,14,0.35079365079365077,0.9870977218916679,96362.98960104767,XLE,XLI,60,2.0,0.5,sector_etf
630,-0.12638575002950925,-0.0526119906406477,0.079677630932289,-0.6384568184501536,-0.19184766503565376,6,1,0.873015873015873,1.0628014611289796,87361.42499704908,XLE,XLI,60,2.5,0.0,sector_etf
630,0.02172879872061495,0.008635510053554896,0.027407644363920573,0.3273764747251985,-0.041758698436727526,20,5,0.12380952380952381,0.9448804284008866,102172.87987206149,XLE,XLI,60,2.5,0.5,sector_etf
630,-0.14550690015436063,-0.06096144465823772,0.07915620681660863,-0.7549820876308124,-0.1884977723921628,6,1,0.9,1.0545178708878558,85449.30998456394,XLE,XLI,90,1.5,0.0,sector_etf
630,-0.018483905016994706,-0.00743496966488244,0.05293601073061437,-0.11458484083950594,-0.12543032238865925,70,17,0.45714285714285713,1.0352972526805733,98151.60949830053,XLE,XLI,90,1.5,0.5,sector_etf
630,-0.13920500006490488,-0.05819738001625907,0.07914667990085873,-0.7179603697496966,-0.18998149595097846,6,1,0.8761904761904762,1.0553430722903998,86079.49999350951,XLE,XLI,90,2.0,0.0,sector_etf
630,0.04216074662441116,0.01665566393214246,0.04164104266858404,0.4174366786475958,-0.052674237149701875,42,10,0.2571428571428571,1.00122562894542,104216.07466244111,XLE,XLI,90,2.0,0.5,sector_etf
630,-0.12638575002950925,-0.0526119906406477,0.079677630932289,-0.6384568184501536,-0.19184766503565376,6,1,0.873015873015873,1.0628014611289796,87361.42499704908,XLE,XLI,90,2.5,0.0,sector_etf
630,0.03418909831899275,0.01353787417972474,0.02988315025229282,0.46487165623834686,-0.031602727777946704,22,5,0.1492063492063492,0.9721809710840291,103418.90983189928,XLE,XLI,90,2.5,0.5,sector_etf
630,0.08598139996192122,0.0335439635070125,0.12398437964963283,0.32790517640965744,-0.11331319261645378,14,3,0.9968253968253968,1.0665037101565153,108598.13999619213,AMZN,GOOG,30,1.5,0.0,megacap_tech
630,0.21827039884199673,0.08217495013724463,0.0894632194134507,0.9273776509456402,-0.070730210672594,154,38,0.5253968253968254,1.0386090843675115,121827.03988419966,AMZN,GOOG,30,1.5,0.5,megacap_tech
630,0.08598139996192122,0.0335439635070125,0.12398437964963283,0.32790517640965744,-0.11331319261645378,14,3,0.9968253968253968,1.0665037101565153,108598.13999619213,AMZN,GOOG,30,2.0,0.0,megacap_tech
