sym_a,sym_b,n_sessions,corr,coint_p,beta,intercept,half_life,spread_vol,last_z,group,passes
AMZN,GOOG,630,0.6253363274630246,0.011429072941426631,1.2293624344712708,-1.0543735885248213,16.430103157462057,0.06552675067348257,1.5015182330978638,megacap_tech,True
XLE,XLI,630,0.5971334819446081,0.014686481172400494,0.35620717988813844,2.015812471310523,17.479527072191775,0.04506227569474356,-1.907693652870295,sector_etf,True
AMZN,META,630,0.6562677582784054,0.010223956764067826,0.5615907927542255,1.712396904833495,18.532012627358277,0.06330393106603285,-0.2814105226650448,megacap_tech,True
CVX,XOM,630,0.8253435513658707,0.04234389864080386,0.3393905016107347,3.3817330411127426,23.585973128939717,0.048318557859160005,-1.4390410580191473,big_oil,True
JPM,WFC,630,0.7609483902823372,0.040809480028485945,1.0084280773122447,1.2019991135969659,24.82143623154317,0.05810944572854115,0.40158827205007186,money_center,True
